Workstream,Year,Worktype,Series,FTE Multiplier,FTEs,Selected Returns,Workstream(2),Filter By Year,Filter By Worktype,Filter By Series
FLD_EXAM,Y-2011,BRTF10652,S-0313,0.000004,0.01591070567107,3977.67641776749,FLD_EXAM,Y-2011,BRTF10652,S-0313
FLD_EXAM,Y-2011,BRTF10652,S-0318,0.006853,27.2590164909606,3977.67641776749,FLD_EXAM,Y-2011,BRTF10652,S-0318
FLD_EXAM,Y-2011,BRTF10652,S-0322,0.000017,0.0676204991020473,3977.67641776749,FLD_EXAM,Y-2011,BRTF10652,S-0322
FLD_EXAM,Y-2011,BRTF10652,S-0326,0.000107,0.425611376701121,3977.67641776749,FLD_EXAM,Y-2011,BRTF10652,S-0326
FLD_EXAM,Y-2011,BRTF10652,S-0335,0.000109,0.433566729536656,3977.67641776749,FLD_EXAM,Y-2011,BRTF10652,S-0335
FLD_EXAM,Y-2011,BRTF10652,S-0340,0.000981,3.90210056582991,3977.67641776749,FLD_EXAM,Y-2011,BRTF10652,S-0340
FLD_EXAM,Y-2011,BRTF10652,S-0343,0.000796,3.16623042854292,3977.67641776749,FLD_EXAM,Y-2011,BRTF10652,S-0343
FLD_EXAM,Y-2011,BRTF10652,S-0344,0.000676,2.68890925841082,3977.67641776749,FLD_EXAM,Y-2011,BRTF10652,S-0344
FLD_EXAM,Y-2011,BRTF10652,S-0356,0.000022,0.0875088811908848,3977.67641776749,FLD_EXAM,Y-2011,BRTF10652,S-0356
FLD_EXAM,Y-2011,BRTF10652,S-0399,0.000114,0.453455111625494,3977.67641776749,FLD_EXAM,Y-2011,BRTF10652,S-0399
FLD_EXAM,Y-2011,BRTF10652,S-0501,0.000734,2.91961449064134,3977.67641776749,FLD_EXAM,Y-2011,BRTF10652,S-0501
FLD_EXAM,Y-2011,BRTF10652,S-0503,0.001133,4.50670738133057,3977.67641776749,FLD_EXAM,Y-2011,BRTF10652,S-0503
FLD_EXAM,Y-2011,BRTF10652,S-0512,0.045023,179.086925357146,3977.67641776749,FLD_EXAM,Y-2011,BRTF10652,S-0512
FLD_EXAM,Y-2011,BRTF10652,S-0560,0.000009,0.0357990877599074,3977.67641776749,FLD_EXAM,Y-2011,BRTF10652,S-0560
FLD_EXAM,Y-2011,BRTF10652,S-0592,0.001483,5.89889412754919,3977.67641776749,FLD_EXAM,Y-2011,BRTF10652,S-0592
FLD_EXAM,Y-2011,BRTF10652,S-0599,0.000161,0.640405903260566,3977.67641776749,FLD_EXAM,Y-2011,BRTF10652,S-0599
FLD_EXAM,Y-2011,BRTF10652,S-0905,0.000013,0.0517097934309774,3977.67641776749,FLD_EXAM,Y-2011,BRTF10652,S-0905
FLD_EXAM,Y-2011,BRTF10652,S-0962,0.000006,0.0238660585066049,3977.67641776749,FLD_EXAM,Y-2011,BRTF10652,S-0962
FLD_EXAM,Y-2011,BRTF10652,S-0986,0.000002,0.00795535283553498,3977.67641776749,FLD_EXAM,Y-2011,BRTF10652,S-0986
FLD_EXAM,Y-2011,BRTF10652,S-0987,0.000007,0.0278437349243724,3977.67641776749,FLD_EXAM,Y-2011,BRTF10652,S-0987
FLD_EXAM,Y-2011,BRTF10652,S-1035,0.000007,0.0278437349243724,3977.67641776749,FLD_EXAM,Y-2011,BRTF10652,S-1035
FLD_EXAM,Y-2011,BRTF10652,S-1169,0.00003,0.119330292533025,3977.67641776749,FLD_EXAM,Y-2011,BRTF10652,S-1169
FLD_EXAM,Y-2011,BRTF10652,S-1515,0.000006,0.0238660585066049,3977.67641776749,FLD_EXAM,Y-2011,BRTF10652,S-1515
FLD_EXAM,Y-2011,BRTF10652,S-1802,0.000002,0.00795535283553498,3977.67641776749,FLD_EXAM,Y-2011,BRTF10652,S-1802
FLD_EXAM,Y-2011,BRTF10652,S-2210,0.00006,0.238660585066049,3977.67641776749,FLD_EXAM,Y-2011,BRTF10652,S-2210
FLD_EXAM,Y-2011,BRTF10653,S-0080,0.000005,0.0010909964681696,218.19929363392,FLD_EXAM,Y-2011,BRTF10653,S-0080
FLD_EXAM,Y-2011,BRTF10653,S-0201,0.000003,0.000654597880901759,218.19929363392,FLD_EXAM,Y-2011,BRTF10653,S-0201
FLD_EXAM,Y-2011,BRTF10653,S-0203,0.000003,0.000654597880901759,218.19929363392,FLD_EXAM,Y-2011,BRTF10653,S-0203
FLD_EXAM,Y-2011,BRTF10653,S-0260,0.000003,0.000654597880901759,218.19929363392,FLD_EXAM,Y-2011,BRTF10653,S-0260
FLD_EXAM,Y-2011,BRTF10653,S-0301,0.000274,0.059786606455694,218.19929363392,FLD_EXAM,Y-2011,BRTF10653,S-0301
FLD_EXAM,Y-2011,BRTF10653,S-0303,0.001366,0.298060235103934,218.19929363392,FLD_EXAM,Y-2011,BRTF10653,S-0303
FLD_EXAM,Y-2011,BRTF10653,S-0304,0.000016,0.00349118869814271,218.19929363392,FLD_EXAM,Y-2011,BRTF10653,S-0304
FLD_EXAM,Y-2011,BRTF10653,S-0305,0.000058,0.0126555590307673,218.19929363392,FLD_EXAM,Y-2011,BRTF10653,S-0305
FLD_EXAM,Y-2011,BRTF10653,S-0313,0.000005,0.0010909964681696,218.19929363392,FLD_EXAM,Y-2011,BRTF10653,S-0313
FLD_EXAM,Y-2011,BRTF10653,S-0318,0.010034,2.18941171232275,218.19929363392,FLD_EXAM,Y-2011,BRTF10653,S-0318
FLD_EXAM,Y-2011,BRTF10653,S-0322,0.000025,0.00545498234084799,218.19929363392,FLD_EXAM,Y-2011,BRTF10653,S-0322
FLD_EXAM,Y-2011,BRTF10653,S-0326,0.000156,0.0340390898068915,218.19929363392,FLD_EXAM,Y-2011,BRTF10653,S-0326
FLD_EXAM,Y-2011,BRTF10653,S-0335,0.000159,0.0346936876877932,218.19929363392,FLD_EXAM,Y-2011,BRTF10653,S-0335
FLD_EXAM,Y-2011,BRTF10653,S-0340,0.001437,0.313552384951942,218.19929363392,FLD_EXAM,Y-2011,BRTF10653,S-0340
FLD_EXAM,Y-2011,BRTF10653,S-0343,0.001166,0.25442037637715,218.19929363392,FLD_EXAM,Y-2011,BRTF10653,S-0343
FLD_EXAM,Y-2011,BRTF10653,S-0344,0.00099,0.21601730069758,218.19929363392,FLD_EXAM,Y-2011,BRTF10653,S-0344
FLD_EXAM,Y-2011,BRTF10653,S-0356,0.000033,0.00720057668991935,218.19929363392,FLD_EXAM,Y-2011,BRTF10653,S-0356
FLD_EXAM,Y-2011,BRTF10653,S-0399,0.000167,0.0364392820368646,218.19929363392,FLD_EXAM,Y-2011,BRTF10653,S-0399
FLD_EXAM,Y-2011,BRTF10653,S-0501,0.001075,0.234564240656464,218.19929363392,FLD_EXAM,Y-2011,BRTF10653,S-0501
FLD_EXAM,Y-2011,BRTF10653,S-0503,0.001659,0.361992628138673,218.19929363392,FLD_EXAM,Y-2011,BRTF10653,S-0503
FLD_EXAM,Y-2011,BRTF10653,S-0512,0.065922,14.3841338349352,218.19929363392,FLD_EXAM,Y-2011,BRTF10653,S-0512
FLD_EXAM,Y-2011,BRTF10653,S-0560,0.000014,0.00305479011087487,218.19929363392,FLD_EXAM,Y-2011,BRTF10653,S-0560
FLD_EXAM,Y-2011,BRTF10653,S-0592,0.002172,0.473928865772873,218.19929363392,FLD_EXAM,Y-2011,BRTF10653,S-0592
