Workstream,Year,Series,FTEs,Filter By Workstream,Filter By Year,Filter By Series
FLD_EXAM,Y-2014,S-1169,0.609575363062838,FLD_EXAM,Y-2014,S-1169
FLD_EXAM,Y-2014,S-1515,0.107895044866678,FLD_EXAM,Y-2014,S-1515
FLD_EXAM,Y-2014,S-1802,0.0338257556298357,FLD_EXAM,Y-2014,S-1802
FLD_EXAM,Y-2014,S-2210,1.2146465721126,FLD_EXAM,Y-2014,S-2210
FLD_EXAM,Y-2015,S-0080,0.0863633736938564,FLD_EXAM,Y-2015,S-0080
FLD_EXAM,Y-2015,S-0201,0.0371635012957439,FLD_EXAM,Y-2015,S-0201
FLD_EXAM,Y-2015,S-0203,0.0371635012957439,FLD_EXAM,Y-2015,S-0203
FLD_EXAM,Y-2015,S-0260,0.0371635012957439,FLD_EXAM,Y-2015,S-0260
FLD_EXAM,Y-2015,S-0301,3.94648174036356,FLD_EXAM,Y-2015,S-0301
FLD_EXAM,Y-2015,S-0303,19.6575361798402,FLD_EXAM,Y-2015,S-0303
FLD_EXAM,Y-2015,S-0304,0.246154442657398,FLD_EXAM,Y-2015,S-0304
FLD_EXAM,Y-2015,S-0305,0.850573497600112,FLD_EXAM,Y-2015,S-0305
FLD_EXAM,Y-2015,S-0313,0.0863633736938564,FLD_EXAM,Y-2015,S-0313
FLD_EXAM,Y-2015,S-0318,144.366353116853,FLD_EXAM,Y-2015,S-0318
FLD_EXAM,Y-2015,S-0322,0.36915694929758,FLD_EXAM,Y-2015,S-0322
FLD_EXAM,Y-2015,S-0326,2.32613123672635,FLD_EXAM,Y-2015,S-0326
FLD_EXAM,Y-2015,S-0335,2.39643639583135,FLD_EXAM,Y-2015,S-0335
FLD_EXAM,Y-2015,S-0340,20.6748729099335,FLD_EXAM,Y-2015,S-0340
FLD_EXAM,Y-2015,S-0343,16.7719610354436,FLD_EXAM,Y-2015,S-0343
FLD_EXAM,Y-2015,S-0344,14.2438012818741,FLD_EXAM,Y-2015,S-0344
FLD_EXAM,Y-2015,S-0356,0.492183568506631,FLD_EXAM,Y-2015,S-0356
FLD_EXAM,Y-2015,S-0399,2.40335733764589,FLD_EXAM,Y-2015,S-0399
FLD_EXAM,Y-2015,S-0501,15.4668095109521,FLD_EXAM,Y-2015,S-0501
